ID	ELEMENT SYMBOL	ENERGY	INTENSITY	ISOTOPE ABUNDANCE
90190010107	F	3112.693	2.458e-02	1.000e+00
90190010108	F	3152.640	1.458e-03	1.000e+00
90190010109	F	3220.000	6.354e-03	1.000e+00
90190010110	F	3293.230	3.958e-03	1.000e+00
90190010111	F	3387.580	6.354e-03	1.000e+00
90190010112	F	3475.050	5.208e-04	1.000e+00
90190010113	F	3488.064	7.604e-02	1.000e+00
90190010114	F	3534.570	1.458e-03	1.000e+00
90190010115	F	3578.820	9.375e-04	1.000e+00
90190010116	F	3586.186	2.979e-02	1.000e+00
90190010117	F	3589.450	1.865e-02	1.000e+00
90190010118	F	3607.800	2.188e-03	1.000e+00
90190010119	F	3679.790	9.063e-03	1.000e+00
90190010120	F	3711.190	1.250e-03	1.000e+00
90190010121	F	3741.460	5.938e-03	1.000e+00
90190010122	F	3823.093	1.115e-02	1.000e+00
90190010123	F	3891.749	1.875e-03	1.000e+00
90190010124	F	3894.700	1.250e-03	1.000e+00
90190010125	F	3964.872	4.531e-02	1.000e+00
90190010126	F	3973.381	2.500e-03	1.000e+00
90190010127	F	4009.550	1.042e-03	1.000e+00
90190010128	F	4046.504	6.250e-03	1.000e+00
90190010129	F	4069.640	7.292e-04	1.000e+00
90190010130	F	4081.710	5.833e-03	1.000e+00
90190010131	F	4091.900	1.771e-03	1.000e+00
90190010132	F	4094.850	5.313e-03	1.000e+00
90190010133	F	4173.527	1.729e-02	1.000e+00
90190010134	F	4200.680	1.156e-02	1.000e+00
90190010135	F	4225.530	6.250e-04	1.000e+00
90190010136	F	4245.680	9.896e-03	1.000e+00
90190010137	F	4261.860	3.125e-04	1.000e+00
90190010138	F	4313.460	1.875e-03	1.000e+00
90190010139	F	4335.080	4.792e-03	1.000e+00
90190010140	F	4556.817	5.385e-02	1.000e+00
90190010141	F	4626.378	8.333e-04	1.000e+00
90190010142	F	4629.938	6.250e-04	1.000e+00
90190010143	F	4638.990	2.396e-03	1.000e+00
90190010144	F	4708.007	5.313e-03	1.000e+00
90190010145	F	4735.160	5.833e-03	1.000e+00
90190010146	F	4756.957	1.938e-02	1.000e+00
90190010147	F	4878.680	9.375e-04	1.000e+00
90190010148	F	4898.680	7.292e-04	1.000e+00
